site,longitud,latitud
6,-6.47822,37.00915
7,-6.37316,36.83463
8,-6.529938,37.030375
9,-6.383208,36.859695
10,-6.44817,37.0442
11,-6.395506,36.870678
12,-6.446791,36.939661
13,-6.428908,36.926431
14,-6.3969,36.8896
15,-6.49138,37.09238
16,-6.45932,36.93027
17,-6.477,36.98375
18,-6.41198,37.12899
19,-6.48446,37.04828
20,-6.512871,37.060595
21,-6.44512,36.96246
22,-6.54303,37.01857
23,-6.48929,37.0715
24,-6.458982,37.00831
25,-6.53732,37.04376
26,-6.45805,37.08309
27,-6.530406,36.998186
28,-6.446039,37.027785
29,-6.464045,37.039638
30,-6.445694,37.061092
31,-6.49832,37.03321
32,-6.522899,37.015213
33,-6.365273,36.817657
34,-6.442084,37.110402
35,-6.47349,36.995292
36,-6.465839,37.067972
37,-6.4314,37.13286
38,-6.47065,37.09344
39,-6.50161,36.99848
40,-6.45981,37.1301
41,-6.40592,36.84563
42,-6.41135,36.90893
43,-6.467161,36.966866
44,-6.490199,37.088986
45,-6.496133,37.097451
46,-6.452043,37.071192
47,-6.465767,37.05396
48,-6.51502,37.042953
49,-6.396521,36.824835
50,-6.381055,36.810931
51,-6.369294,36.798937
52,-6.380653,36.84712
53,-6.39029,36.9102
54,-6.410007,36.922747
55,-6.428059,36.877506
56,-6.42957,37.135486
57,-6.447347,37.132234
58,-6.507657,36.98695
59,-6.490226,36.987472
60,-6.502389,37.012476
61,-6.470661,37.024813
62,-6.438214,36.894793
63,-6.483803,36.972524
64,-6.43446,36.9438
65,-6.464266,36.948412
66,-6.437881,36.975929
67,-6.4712,36.995815
68,-6.442044,37.010484
10B,-6.447588,37.043991
14B,-6.397481,36.8895
16B,-6.459337,36.930927
17B,-6.477162,36.983326
18B,-6.412446,37.128672
19B,-6.484023,37.048111
21B,-6.445082,36.962458
22B,-6.542842,37.01804
23B,-6.489197,37.071531
25B,-6.537649,37.043775
26B,-6.45842,37.08313
31B,-6.498187,37.033264
39B,-6.501766,36.998571
41B,-6.405168,36.845435
42B,-6.41085,36.909017
6B,-6.478801,37.009279
7B,-6.373541,36.834725
